"序号","网址","发帖大类","发帖小类","发帖标题","发帖内容","发帖人","发帖日期","发帖类型","分词结果"
1146,"http://bbs.cehome.com/thread-1147236-1-1.html","挖掘机专区","杂谈图库","利勃海尔R954大钳子，钢铁的克星！","利勃海尔R954安装了MSD  4500R大鳄鱼钳子。这口利嘴是钢铁的克星，能把所有钢铁撕成碎片。","诛心","2017-11-25 05:40:47","[美图转发]","海尔 大钳 钢铁 克星 海尔 安装 鳄鱼 钳子 这口 利嘴 钢铁 克星 能把 所有 钢铁 撕成 碎片"
1147,"http://bbs.cehome.com/thread-1147233-1-1.html","挖掘机专区","我爱我挖","早起去上工","","手机用户couvy89","2017-11-25 05:36:22","","早起 上工"
1148,"http://bbs.cehome.com/thread-1147228-1-1.html","挖掘机专区","我爱我挖","早","","微信用户_HZhvBB","2017-11-25 05:28:47","",""
1149,"http://bbs.cehome.com/thread-1147220-1-1.html","铁甲娱乐","轻松一刻","分享日记第177天","好困啊","Yanyingqiang","2017-11-25 05:14:48","","分享 日记 好困"
1150,"http://bbs.cehome.com/thread-1147139-1-1.html","挖掘机专区","我爱我挖","小松问题","甲油门，小松200-8发动机四配套原厂件，你们更换时都是什么价格","爱在天涯","2017-11-25 02:36:21","","小松 问题 油门 小松 发动机 配套 你们 更换 都是 什么 价格"
1151,"http://bbs.cehome.com/thread-1147131-1-1.html","挖掘机专区","杂谈图库","卸船","熬人","木染、青春","2017-11-25 02:23:21","","卸船"
1152,"http://bbs.cehome.com/thread-1147121-1-1.html","我与工程机械","故障咨询","各位大神我的神钢超8","突然报警F013怎么回事！怎么排除！15255568444！","15255568444","2017-11-25 02:03:43","[显示器报警]","各位 大神 神钢 突然 报警 怎么回事 怎么 排除"
1153,"http://bbs.cehome.com/thread-1147119-1-1.html","挖掘机专区","我爱我挖","漫漫长夜","守电梯","余生没着落","2017-11-25 02:02:36","","漫漫长夜 电梯"
1154,"http://bbs.cehome.com/thread-1147094-1-1.html","挖掘机专区","我爱我挖","哈哈 还是人少的时候抽奖准","顺便问下怎么联系客服","我开挖机能漂移","2017-11-25 01:14:20","","哈哈 还是 人少 时候 抽奖 顺便 问下 怎么 联系 客服"
1155,"http://bbs.cehome.com/thread-1147089-1-1.html","挖掘机专区","我爱我挖","准备提一台矿山神器，美包包","","西北老司机","2017-11-25 01:05:18","","准备 一台 矿山 神器 包包"
1156,"http://bbs.cehome.com/thread-1147086-1-1.html","互通有无","招聘求职","赣州开发区找挖机师傅一名","赣州开发区找挖机师傅一名，工资面议，不拖欠，相处融洽可考虑合伙","18682089473","2017-11-25 01:02:50","[江西]","赣州 开发区 挖机 师傅 一名 赣州 开发区 挖机 师傅 一名 工资 面议 不拖 相处 融洽 可考 合伙"
1157,"http://bbs.cehome.com/thread-1147079-1-1.html","挖掘机专区","我爱我挖","为什么？","为什么，打不开网页呢，得返回，在点，不行再返回，求解","13174326803","2017-11-25 00:49:48","","为什么 为什么 打不开 网页 返回 不行 返回 求解"
1158,"http://bbs.cehome.com/thread-1147076-1-1.html","我与工程机械","故障咨询","小松30-7中臂和左边行走慢","小松30-7中臂和左边行走慢，其它动作都正常。请问高手什么原因？","13929809068","2017-11-25 00:45:17","[单一动作慢]","小松 左边 行走 小松 左边 行走 其它 动作 正常 请问 高手 什么原因"
1159,"http://bbs.cehome.com/thread-1147073-1-1.html","挖掘机专区","我爱我挖","没中","","时光-峰","2017-11-25 00:41:44","","没中"
1160,"http://bbs.cehome.com/thread-1147065-1-1.html","互通有无","配件广告专区","求购日立标准臂","日立ZX210-3标准臂有的发图代价合适秒了","A修地球","2017-11-25 00:27:06","[发动机]","求购 日立 标准 日立 标准 有的 代价 合适"
1161,"http://bbs.cehome.com/thread-1147059-1-1.html","铁甲娱乐","轻松一刻","感觉来了","咋办","开挖机的小伙子啊","2017-11-25 00:17:35","","感觉 来了 咋办"
1162,"http://bbs.cehome.com/thread-1147051-1-1.html","我与工程机械","故障咨询","旋转发抖，开小臂慢，升降快","斗山挖机旋转起来发抖，开小臂很慢，收小臂比开小臂快，升降速度很快，这是什么原因","15870296078","2017-11-25 00:04:32","[其他液压泵/阀问题]","旋转 发抖 开小 升降 斗山 挖机 旋转 起来 发抖 开小 很慢 小臂 开小 升降 速度 很快 这是 什么原因"
1163,"http://bbs.cehome.com/thread-1147049-1-1.html","挖掘机专区","我爱我挖","抽奖","又中币","DJw","2017-11-25 00:01:58","","抽奖"
1164,"http://bbs.cehome.com/thread-1147040-1-1.html","挖掘机专区","我爱我挖","右上角画圈的是什么键子","请教师傅 右上角画圈的是管啥的！ 多谢了！","手机用户fijkos0","2017-11-24 23:50:30","","右上角 画圈 是什么 键子 请教 师傅 右上角 画圈 多谢"
1165,"http://bbs.cehome.com/thread-1147036-1-1.html","我与工程机械","装载机","真黑呀","","春夏秋冬.唯我山工","2017-11-24 23:47:59","",""
1166,"http://bbs.cehome.com/thread-1147033-1-1.html","铁甲娱乐","轻松一刻","为什么","今晚有买的吗？","开挖机的小伙子啊","2017-11-24 23:44:13","","为什么 今晚"
1167,"http://bbs.cehome.com/thread-1147017-1-1.html","我与工程机械","故障咨询","沃德485憋车是怎么回事？","机子最近开始憋车了，还一天比一天厉害，怎么回事？找了几个修车师傅也找不出毛病","免贵姓赵","2017-11-24 23:16:29","[其他]","怎么回事 机子 最近 开始 一天 一天 厉害 怎么回事 找了 几个 修车 师傅 找不出 毛病"
1168,"http://bbs.cehome.com/thread-1147015-1-1.html","","","","","","","",""
1169,"http://bbs.cehome.com/thread-1147014-1-1.html","挖掘机专区","我爱我挖","日立130-5A","求大神说下，日立130-5A怎么看压力和油温","念旧。","2017-11-24 23:13:03","","日立 大神 说下 日立 怎么看 压力 油温"
1170,"http://bbs.cehome.com/thread-1147009-1-1.html","挖掘机专区","我爱我挖","下了3天雨了，挖机都生锈了。","天天下雨闲着没事做无聊了","...23……32","2017-11-24 23:05:05","","下了 挖机 生锈 天天 下雨 闲着没事 无聊"
1171,"http://bbs.cehome.com/thread-1147004-1-1.html","挖掘机专区","我爱我挖","求大神指点！","装载机电控变速箱与普通行星变速箱相差多少钱？","小苹果","2017-11-24 22:57:56","","大神 指点 装载机 电控 变速箱 普通 行星 变速箱 相差 多少钱"
1172,"http://bbs.cehome.com/thread-1147001-1-1.html","挖掘机专区","我爱我挖","有谁知道这个锤是什么牌子的","坏了不知道名字不好找配件","手机用户OqHQQAf","2017-11-24 22:53:18","","有谁 知道 这个 是什么 牌子 坏了 不知道 名字 不好 配件"
1173,"http://bbs.cehome.com/thread-1146997-1-1.html","挖掘机专区","我爱我挖","寿县中学","一中就是6","手掌心丶相依","2017-11-24 22:49:38","","寿县 中学 一中 就是"
1174,"http://bbs.cehome.com/thread-1146995-1-1.html","挖掘机专区","我爱我挖","你会出人头地的","早上到工地上班，一个同事就这样睡在地上。现在早上气温比较低。挖机是他自己的。听同事说他爸妈去世的早。自己扛起家里的一切事务。为了家庭天天忙碌。我想说哥们你以后一定会出人头地。","苦逼挖掘机","2017-11-24 22:47:07","","会出 人头 早上 工地 上班 一个 同事 就这样 睡在 地上 现在 早上 气温 比较 挖机 自己 同事 爸妈 去世 自己 扛起 家里 一切 事务 为了 家庭 天天 忙碌 想说 哥们 以后 一定 会出 人头"
1175,"http://bbs.cehome.com/thread-1146993-1-1.html","挖掘机专区","我爱我挖","求拖车！","湖北枝江求拖80拖车一辆！17683702836","17683702836","2017-11-24 22:46:25","","拖车 湖北 枝江 拖车 一辆"
1176,"http://bbs.cehome.com/thread-1146990-1-1.html","我与工程机械","装载机","这是什么鬼","铲什么用的","山工652B啊","2017-11-24 22:42:23","","这是 什么 什么用"
1177,"http://bbs.cehome.com/thread-1146986-1-1.html","挖掘机专区","选购询价","三一235-8和8S的区别是哪里","如题，请各位大神赐教，谢谢哈","15562126562","2017-11-24 22:38:14","[21-30吨]","三一 区别 哪里 如题 各位 大神 赐教 谢谢"
1178,"http://bbs.cehome.com/thread-1146982-1-1.html","挖掘机专区","我爱我挖","小挖机用哪个好","","xiangczz","2017-11-24 22:32:20","","小挖 哪个"
1179,"http://bbs.cehome.com/thread-1146981-1-1.html","挖掘机专区","我爱我挖","【一起来 就现在】加班赚钱","","挖机小王子。","2017-11-24 22:31:40","","一起 现在 加班 赚钱"
1180,"http://bbs.cehome.com/thread-1146978-1-1.html","挖掘机专区","我爱我挖","买了个14年小松240-8mo，帮我看看吧","原来老板是我亲戚，因为他今年包的活太多，资金不足，要交保证金，就把机子卖我了，65万，4820小时，一直是小松厂家做的保养，保养记录公司可查，没干过石活，甲友们帮我看看你们觉得值不值？","手机用户bfgkuwy","2017-11-24 22:29:24","","买了 小松 帮我 看看 原来 老板 亲戚 因为 今年 太多 资金不足 交保 就把 机子 小时 一直是 小松 厂家 保养 保养 记录 公司 可查 没干 帮我 看看 你们 觉得 值不值"
1181,"http://bbs.cehome.com/thread-1146976-1-1.html","铁甲娱乐","轻松一刻","新手报到！！！新手报到！！！","新手报到！！！新手报到！！！新手报到！！！本帖最后由 13185146424 于 2017-11-24 22:36 编辑","13185146424","2017-11-24 22:28:02","","新手 报到 新手 报到 新手 报到 新手 报到 新手 报到 本帖 最后 编辑"
1182,"http://bbs.cehome.com/thread-1146975-1-1.html","挖掘机专区","我爱我挖","关于小松220-8挖机经常掉链求助","车已经7年了，还是原车链筋，一边还可以，一边不好，下底盘没有换过任何东西，就是求教一下怎样搞一下，让掉链频率降低。不要告诉我要换链筋。","李双","2017-11-24 22:26:58","","关于 小松 挖机 经常 求助 已经 还是 车链 一边 还可 一边 不好 下底 没有 换过 任何东西 就是 求教 一下 怎样 一下 频率 降低 不要 告诉我"
1183,"http://bbs.cehome.com/thread-1146973-1-1.html","挖掘机专区","我爱我挖","今天在空间看到的","元芳，这个你怎么看","孤独的挖机","2017-11-24 22:25:41","","今天在 空间 看到 这个 怎么看"
1184,"http://bbs.cehome.com/thread-1146971-1-1.html","挖掘机专区","我爱我挖","鱼呢？","**的，打电话约老子出来钓鱼，结果骗劳资来KTV，害老子穿成这样！还喊我嗨起来，你告诉我怎么嗨[发怒][发怒]","鸣城敏爷","2017-11-24 22:24:03","","打电话 老子 出来 钓鱼 结果 劳资 老子 这样 还喊 起来 告诉我 怎么 发怒 发怒"
1185,"http://bbs.cehome.com/thread-1146969-1-1.html","挖掘机专区","我爱我挖","睡觉","快睡吧明天还要上班呢","小小勾机郎","2017-11-24 22:21:43","","睡觉 快睡吧 明天 还要 上班"
1186,"http://bbs.cehome.com/thread-1146963-1-1.html","我与工程机械","故障咨询","沃尔沃460启动马达空转","请教朋友们  沃尔沃460启动发动机时启动马达听声音跟空转差不多，打不着，是怎么回事？谢谢","18631871581","2017-11-24 22:16:25","[发动机]","沃尔沃 启动 马达 空转 请教 朋友们 沃尔沃 启动 发动机 启动 马达 听声 空转 差不多 打不着 怎么回事 谢谢"
1187,"http://bbs.cehome.com/thread-1146961-1-1.html","挖掘机专区","我爱我挖","80挖机买什么汽车改拖板","才买的75挖机，想配个黑拖板，正规的拖板二手得四五万，阆中羞涩，准备买辆车改拖板，想问下甲友们需要买什么样的汽车，东风多利卡可以不","拖拉机拖垃圾","2017-11-24 22:12:58","","挖机 什么 汽车 拖板 挖机 拖板 正规 拖板 二手 四五 阆中 羞涩 准备 买辆 车改 拖板 想问 需要 什么样 汽车 东风 多利 可以"
1188,"http://bbs.cehome.com/thread-1146957-1-1.html","挖掘机专区","我爱我挖","凯斯挖掘机部分故障代码","看了看论坛有，但是不全，于是找了点资料，希望对凯斯的机手有帮助","手机用户bdgknqx","2017-11-24 22:09:59","","挖掘机 部分 故障 代码 看了 论坛 但是 不全 于是 找了 资料 希望 机手 帮助"
1189,"http://bbs.cehome.com/thread-1146955-1-1.html","挖掘机专区","我爱我挖","又来发帖了","唉，为什么在家练习觉得自己做的还行，出去干活却连自己都看不过去呢","手机用户qx12359","2017-11-24 22:06:32","","又来 发帖 为什么 在家 练习 觉得 自己 还行 出去 干活 自己 看不过去"
1190,"http://bbs.cehome.com/thread-1146953-1-1.html","挖掘机专区","我爱我挖","年底了","一年又快过了","遂宁……俊男！！！","2017-11-24 22:06:21","","年底 一年 快过"
1191,"http://bbs.cehome.com/thread-1146948-1-1.html","挖掘机专区","我爱我挖","真的是砸烂的车 不是救车","","半城繁华","2017-11-24 22:01:01","","真的 砸烂 不是"
1192,"http://bbs.cehome.com/thread-1146939-1-1.html","挖掘机专区","我爱我挖","现在挖掘机行业难做，活少价低","我感觉挖掘机是高成本，低利润","手机用户alptwy8","2017-11-24 21:52:09","","现在 挖掘机 行业 价低 感觉 挖掘机 成本 低利"
1193,"http://bbs.cehome.com/thread-1146934-1-1.html","挖掘机专区","我爱我挖","典型的无良商家","别人送的香烟拿出来装13的，男人，可以不帅，可以没钱！但是一定要骚","飝爺敢爲天下","2017-11-24 21:44:20","","典型 无良 商家 别人 香烟 拿出来 男人 可以 不帅 可以 没钱 但是 一定"
1194,"http://bbs.cehome.com/thread-1146932-1-1.html","挖掘机专区","我爱我挖","正宗货","大家应该都认识吧","贺&挖","2017-11-24 21:43:45","","正宗 大家 应该 认识"
1195,"http://bbs.cehome.com/thread-1146931-1-1.html","我与工程机械","起重设备","【一起来 就现在】夯机工地一景","此景至此再也不会有","常林小松","2017-11-24 21:43:37","","一起 现在 机工 此景 至此 再也不会"
1196,"http://bbs.cehome.com/thread-1146930-1-1.html","互通有无","配件广告专区","分配阀","各位甲友哪个有这款分配阀总成，最好是全新的，二手的能用也行，详情请看下图","寿","2017-11-24 21:43:09","[发动机]","分配阀 各位 哪个 有这 分配阀 总成 最好 全新 二手 能用 也行 详情请 看下"
1197,"http://bbs.cehome.com/thread-1146925-1-1.html","挖掘机专区","我爱我挖","公司滤芯太贵找替换可行否？","由于公司滤芯太贵，我上网查了有些货车的发动机和我挖机上用的同一种康明斯3.8的发动机，同一种发动机说明滤芯也是一样的，同样的东西也是正品反而价格便宜一半，但我有个疑问，货车滤芯能用到挖机上吗？都知道工程车用发动机与货车发动机调校不一样，应该与滤芯无关吧？有没甲友同款发动机的？","我笑你狠丑","2017-11-24 21:34:48","","公司 滤芯 太贵 替换 可行 由于 公司 滤芯 太贵 上网 有些 货车 发动机 和我 挖机 同一种 康明斯 发动机 同一种 发动机 说明 滤芯 也是 一样 同样 东西 也是 正品 反而 价格便宜 一半 但我 疑问 货车 滤芯 能用 挖机 知道 工程车 发动机 货车 发动机 调校 不一样 应该 滤芯 无关 发动机"
1198,"http://bbs.cehome.com/thread-1146923-1-1.html","挖掘机专区","我爱我挖","小松200-8憋车，怎么回事？","小松200一8憋车吊转速600转发动机排烟正常","手机用户fjqrs29","2017-11-24 21:32:22","[操作技巧]","小松 怎么回事 小松 转速 转发 动机 排烟 正常"
1199,"http://bbs.cehome.com/thread-1146921-1-1.html","挖掘机专区","我爱我挖","小松130-8怎么样 有用过的讲讲","有力不","电单车","2017-11-24 21:30:23","","小松 怎么样 有用 讲讲 有力"
1200,"http://bbs.cehome.com/thread-1146917-1-1.html","挖掘机专区","杂谈图库","晒铁了！","晒铁！！都发毛了！","手机用户finux19","2017-11-24 21:28:57","[原创实拍]","都发"
1201,"http://bbs.cehome.com/thread-1146913-1-1.html","挖掘机专区","我爱我挖","小松200挖机怎么样","11年小松200挖机怎么样，能买吗","手机用户cfnt469","2017-11-24 21:22:44","","小松 挖机 怎么样 小松 挖机 怎么样"
1202,"http://bbs.cehome.com/thread-1146911-1-1.html","我与工程机械","故障咨询","日立200杠3G和小松200杠8链条和支重轮一样的","求大师解","18726039962","2017-11-24 21:21:38","[其他四轮一带问题]","日立 小松 链条 一样 大师"
1203,"http://bbs.cehome.com/thread-1146910-1-1.html","我与工程机械","故障咨询","求大师解答","135韩宇破碎锤早上冷机子打破碎把履带撑起来打，打不动，轻轻放在石头打把锤打热了锤才有力","手机用户aklqt26","2017-11-24 21:21:22","[其他]","大师 解答 破碎 早上 机子 打破 履带 撑起来 不动 轻轻 放在 石头 锤打 才有"
1204,"http://bbs.cehome.com/thread-1146909-1-1.html","我与工程机械","故障咨询","卡特320请教","大臂与二臂链接间隙大了，左右晃。有什么好办法？","手机用户ikmopz1","2017-11-24 21:20:17","[其他]","卡特 请教 链接 间隙 左右 什么 好办法"
1205,"http://bbs.cehome.com/thread-1146907-1-1.html","挖掘机专区","我爱我挖","卡特312v2发动机风扇皮带好换吗？","老铁","哥挖be是寂寞","2017-11-24 21:18:49","","卡特 发动机 风扇皮带"
1206,"http://bbs.cehome.com/thread-1146906-1-1.html","挖掘机专区","我爱我挖","保养","新车第二次多少小时保养","使劲铲","2017-11-24 21:18:48","","保养 新车 第二次 多少 小时 保养"
1207,"http://bbs.cehome.com/thread-1146904-1-1.html","挖掘机专区","我爱我挖","学徒机机","时隔5年 再开第一次开的机机","混时魔王","2017-11-24 21:18:43","","学徒 时隔 第一次"
1208,"http://bbs.cehome.com/thread-1146902-1-1.html","挖掘机专区","我爱我挖","胆子一天大","霸得蛮，玩的就是心跳","这位仁兄的玉柴85－8","2017-11-24 21:17:50","","胆子 一天 玩的就是心跳"
1209,"http://bbs.cehome.com/thread-1146901-1-1.html","挖掘机专区","我爱我挖","换油封","","一如既往开挖机","2017-11-24 21:17:49","","换油"
1210,"http://bbs.cehome.com/thread-1146899-1-1.html","挖掘机专区","我爱我挖","卡特312操作手干油管好换吗？","？？","哥挖be是寂寞","2017-11-24 21:15:59","","卡特 操作手 油管"
1211,"http://bbs.cehome.com/thread-1146895-1-1.html","我与工程机械","故障咨询","求助大神～现代335-7拉载行走无力～怎样修理～","求助大神～现代335-7拉载行走无力～怎样修理～能不能改装一下？","13146199333","2017-11-24 21:10:38","[其他]","求助 大神 现代 行走 无力 怎样 修理 求助 大神 现代 行走 无力 怎样 修理 能不能 改装 一下"
1212,"http://bbs.cehome.com/thread-1146884-1-1.html","挖掘机专区","我爱我挖","大神们看看这多少钱一米能干","这两天接的活，要求40宽1米深另外还要挖40个80x80深1米的基坑，包回填，共有5千米。多少1米能干？干了两天还没定价。","980801","2017-11-24 20:57:21","","大神 看看 多少钱 一米 能干 这两天 要求 另外 还要 基坑 回填 共有 千米 多少 能干 干了 两天 还没 定价"
1213,"http://bbs.cehome.com/thread-1146883-1-1.html","","","","","","","",""
1214,"http://bbs.cehome.com/thread-1146880-1-1.html","互通有无","配件广告专区","全国批发现代驾驶室","上图13356892015，现代黑金刚驾驶室，全国批发","13356892015","2017-11-24 20:52:21","","全国 批发 现代 驾驶室 上图 现代 黑金刚 驾驶室 全国 批发"
1215,"http://bbs.cehome.com/thread-1146878-1-1.html","挖掘机专区","杂谈图库","搞挖机铲车的司机的离职原因就这2点，你们说对吗？","挖机铲车司机的离职原因搞挖机铲车的离职原因林林总总，只有两点最真实：这些归根到底就一条：干得不爽。师傅临走还费尽心思找靠谱的理由，就是为给你留面子，不想说出心里话：跟着你混，看不到将来。不想戳穿：你的管理有多烂、他对你已失望透顶。仔细想想，真是人性本善。作为老板，定要乐于反省。作为一个挖机老板，你得问自己，司机为什么要跟着你混？不要觉得自己是老板，就高人一等，就可以对驾驶员呼来喝去，如果你从内心里尊重人，把驾驶员当一家人，这样，驾驶员就会把你的挖机当自己家的挖机来维护，并用心干好活。老板不要总说，认真干，我不会亏待你的！而一直不发工资！请替机手换为思考：都是爷们，机手不图你的钱，还图你的色吗？别给我谈理想，我的理想就是不上班，我出来工作就是为了钱，工资按时发我就积极！工资不发，我饭都吃不好，老婆没钱买衣服，孩子没钱上学？我如果能高高兴兴、高效率开挖机，我TM是SB吗？老板不要总说，工程款没有结，我又不会跑，几十万的挖机在这里呢，你怕什么？请替机手换为思考：8点上班，我做到了，活干漂亮，我也做到了；10号发工资、对应奖金请你也做到！别跟我说工程没有结款，你又不会跑，钱不会少的。挖机没油能干活吗？我没钱我家里也转不起来……工程结款是老板你的事情，再遭难你自己跟你媳妇说去，别跟我说……要想有好的驾驶员，你首先必须是个合格的老板！这些条件必须满足！言而有信的老板当初招司机来的时候，怎么答应别人的就应该怎样做到，言而有信，言出必行，这样才能赢得别人的信赖，以后即使你有困难，别人也会愿意相信你。同甘共苦的老板有活的时候就招人，没活了就辞退，那还有谁愿意跟你呢？工程好的时候，一起干，没工程了想办法，一起共甘共苦，司机知道你不会亏待他，当然愿意跟你干了。关爱司机的老板别想着司机就是为自己打工的，司机不是机器，情绪也会有起起伏伏，别总盯着工作，生活上也可以多一些关心，偶尔加点餐什么的，这样，即使工作繁重，司机也不会有怨言。高瞻远瞩的老板人怎么能满足于现在？机子工作时间长了，也总有报废的一天。你若是越做越大，越做越强，让司机们觉得跟你干有盼头，那么，他们都会铁定心跟定你！不损人利己的老板在利益冲突或者利益诱惑面前，凭良心做事，不损人利己，这样才能做得长久，也只有这样的老板，司机们跟他干，才心里踏实！01、钱，没给到位；2、心，委屈了。","","2017-11-24 20:51:06","[生活杂谈]","挖机 铲车 司机 离职 原因 你们 说对 挖机 铲车 司机 离职 原因 挖机 铲车 离职 原因 林林总总 只有 两点 真实 这些 归根到底 一条 干得 不爽 师傅 临走 费尽心思 理由 就是 给你 留面子 不想 心里话 跟着 看不到 将来 不想 戳穿 管理 已失 透顶 仔细想 真是 人性本善 作为 老板 定要 乐于 反省 作为 一个 挖机 老板 自己 司机 为什么 跟着 不要 觉得 自己 老板 高人一等 就可以 驾驶员 呼来喝去 如果 内心里 尊重 驾驶员 一家人 这样 驾驶员 就会 挖机 自己 挖机 维护 并用 干好 老板 不要 总说 认真 不会 亏待 一直 不发 工资 机手 换为 思考 都是 爷们 机手 不图 别给 理想 理想 就是 上班 出来 工作 就是 为了 工资 按时 积极 工资 不发 不好 老婆 没钱买 衣服 孩子 没钱 上学 如果能 高高兴兴 高效率 开挖 老板 不要 总说 工程款 没有 又不 几十 挖机 在这里 怕什么 机手 换为 思考 上班 做到 漂亮 做到 发工资 对应 奖金 请你 做到 别跟我 工程 没有 结款 又不 不会 挖机 没油 能干 没钱 我家 起来 工程 结款 老板 事情 遭难 自己 跟你 媳妇 别跟我 要想 驾驶员 首先 必须 合格 老板 这些 条件 必须 满足 言而有信 老板 当初 司机 时候 怎么 答应 别人 就应该 怎样 做到 言而有信 言出必行 这样 才能 赢得 别人 信赖 以后 即使 困难 别人 愿意 相信你 同甘共苦 老板 时候 招人 活了 辞退 那还 有谁 愿意 跟你 工程 时候 一起 工程 想办法 一起 共苦 司机 知道 不会 亏待 当然 愿意 跟你 干了 关爱 司机 老板 别想 司机 就是 自己 打工 司机 不是 机器 情绪 会有 起伏 盯着 工作 生活上 可以 一些 关心 偶尔 加点 什么的 这样 即使 工作 繁重 司机 不会有 怨言 高瞻远瞩 老板 怎么能 满足于 现在 机子 工作时间 长了 总有 报废 一天 若是 越做越 越做越 司机 觉得 跟你 盼头 那么 他们 都会 铁定 跟定 损人利己 老板 利益冲突 或者 利益 诱惑 面前 凭良心 做事 损人利己 这样 才能 做得 长久 只有 这样 老板 司机 跟他 心里 踏实 没给 到位 委屈"
1216,"http://bbs.cehome.com/thread-1146876-1-1.html","互通有无","配件广告专区","驾驶室要的来吧","现代黑金刚驾驶室全国批发电话微信同号13356892815","13356892015","2017-11-24 20:50:06","","驾驶室 来吧 现代 黑金刚 驾驶室 全国 批发 电话 同号"
1217,"http://bbs.cehome.com/thread-1146875-1-1.html","我与工程机械","故障咨询","现代335-7平地行走正常～爬山行走慢～无力～","现代335-7平地行走正常～爬山行走慢～无力～求各位大神指教～比别品牌挖机慢好多～","13146199333","2017-11-24 20:49:40","[速度慢]","现代 平地 行走 正常 爬山 行走 无力 现代 平地 行走 正常 爬山 行走 无力 各位 大神 指教 品牌 挖机 好多"
1218,"http://bbs.cehome.com/thread-1146873-1-1.html","我与工程机械","故障咨询","铲车换完轮胎，跑起来费劲，是怎么回事","铲车换完轮胎，跑起来费劲，是怎么回事","13370887883","2017-11-24 20:48:00","[其他]","铲车 轮胎 跑起来 费劲 怎么回事 铲车 轮胎 跑起来 费劲 怎么回事"
1219,"http://bbs.cehome.com/thread-1146872-1-1.html","挖掘机专区","我爱我挖","瞎起眼睛停车","过过路的地方他娘的还排排停，真想扫它一家伙！","冰与火之哥","2017-11-24 20:46:52","","起眼 停车 过过 地方 还排 真想 一家"
1220,"http://bbs.cehome.com/thread-1146870-1-1.html","我与工程机械","资料分享","谁有杰西博JS220电路图？","找js220全车电路图","无情6677","2017-11-24 20:44:54","","谁有 电路图 全车 电路图"
1221,"http://bbs.cehome.com/thread-1146869-1-1.html","挖掘机专区","我爱我挖","冬天来了，同行们多穿点。","川挖军团在何方，翻译一哈，早上把老子冷惨了","川挖小胖","2017-11-24 20:44:47","","冬天 来了 同行 穿点 军团 何方 翻译 早上 老子 惨了"
